Number of HBD,Number of HBA,MW (Da),N. Carbon atoms,N. heavy atoms,N. Hydrogen atoms,N. Nitrogen atoms,N. Oxygen atoms,N. Fluorine atoms,N. Sulphur atoms,N. Chlorine atoms,Pentamers,Hexamers,Heptamers,Aromatic cycles,clogP,Dataset
1,2,316.44500000000005,19,23,28,2,2,0,0,0,0,2,0,1,3.1217000000000015,ChemTS
1,3,282.72700000000003,13,19,15,2,3,0,0,1,0,2,0,1,3.3107000000000015,ChemTS
2,3,317.38900000000007,17,23,23,3,3,0,0,0,0,1,0,1,1.1769999999999992,ChemTS
0,5,313.3330000000001,17,23,17,2,4,0,0,0,1,2,0,2,0.6010999999999995,ChemTS
0,3,369.84500000000014,17,24,17,1,3,1,1,1,0,2,0,2,2.9539000000000017,ChemTS
0,4,295.362,18,22,19,2,2,0,0,0,0,3,0,2,1.3722999999999994,ChemTS
0,3,297.40200000000004,18,22,23,3,1,0,0,0,1,2,0,2,3.0695000000000014,ChemTS
2,1,318.48500000000007,19,23,32,3,1,0,0,0,0,2,0,1,1.8493000000000004,ChemTS
0,4,315.3930000000001,18,23,23,2,3,0,0,0,1,2,0,1,1.2789999999999997,ChemTS
0,4,351.475,20,25,21,3,1,0,1,0,1,2,0,3,3.9624000000000033,ChemTS
0,3,319.38000000000017,17,23,22,3,2,1,0,0,1,2,0,1,1.2059000000000002,ChemTS
1,4,312.37300000000005,17,23,20,4,2,0,0,0,2,1,0,2,2.26544,ChemTS
1,3,311.77200000000005,17,22,14,3,1,0,0,1,1,2,0,3,3.455700000000002,ChemTS
2,4,385.4840000000001,22,28,29,2,4,0,0,0,0,3,0,2,1.6054000000000002,ChemTS
3,4,333.4320000000001,18,24,27,3,3,0,0,0,1,1,0,1,1.6043999999999998,ChemTS
2,3,326.3960000000001,19,24,22,2,3,0,0,0,0,2,0,2,2.609440000000001,ChemTS
1,3,313.3940000000002,15,21,20,1,3,1,1,0,0,2,0,1,2.4384000000000006,ChemTS
2,5,391.9050000000001,17,25,14,3,2,0,2,1,1,2,0,3,3.796700000000002,ChemTS
2,3,319.8359999999999,17,22,22,3,1,0,0,1,0,2,0,1,3.333280000000002,ChemTS
1,1,271.30999999999995,17,20,15,1,0,2,0,0,0,2,0,2,3.6671000000000022,ChemTS
1,3,364.44500000000005,22,27,24,2,3,0,0,0,1,2,0,2,4.021000000000003,ChemTS
1,1,299.336,16,21,20,1,1,3,0,0,0,2,0,1,4.259900000000004,ChemTS
1,2,327.783,15,21,12,1,1,2,1,1,0,2,0,2,4.026700000000003,ChemTS
1,5,317.414,16,22,19,3,2,0,1,0,1,2,0,2,2.32552,ChemTS
1,5,361.7410000000001,16,25,12,3,5,0,0,1,2,1,0,2,1.8624999999999996,ChemTS
1,4,374.4810000000003,21,27,30,2,4,0,0,0,0,2,1,1,0.012800000000001033,ChemTS
1,2,295.26,15,21,12,1,2,3,0,0,0,2,0,2,3.6083000000000016,ChemTS
1,4,270.336,15,20,18,4,1,0,0,0,1,2,0,2,1.7803199999999997,ChemTS
1,2,308.80900000000014,16,21,21,2,2,0,0,1,0,1,0,1,2.8625000000000016,ChemTS
1,1,308.85300000000007,17,21,25,2,1,0,0,1,0,2,0,1,3.9601000000000033,ChemTS
1,5,311.36600000000004,16,22,13,3,2,0,1,0,1,2,0,3,3.1694000000000004,ChemTS
1,4,294.35800000000006,17,22,18,4,1,0,0,0,0,2,0,2,2.888420000000001,ChemTS
2,4,297.742,13,20,16,3,3,0,0,1,0,2,0,1,0.4332000000000008,ChemTS
1,4,389.49600000000027,21,28,31,3,4,0,0,0,1,2,0,1,3.1107000000000022,ChemTS
1,2,263.406,15,18,21,1,1,0,1,0,0,2,0,1,3.2230000000000016,ChemTS
0,2,290.4510000000001,18,21,30,2,1,0,0,0,1,2,0,0,3.3538000000000023,ChemTS
2,1,316.832,18,22,21,2,1,0,0,1,0,2,0,2,3.8129000000000017,ChemTS
2,2,289.37899999999996,16,21,23,3,2,0,0,0,0,2,0,1,1.6970000000000003,ChemTS
1,4,298.318,17,22,16,1,4,0,0,0,0,2,0,2,1.135399999999999,ChemTS
0,5,310.35400000000004,17,22,12,1,3,0,1,0,1,2,0,3,2.8832000000000013,ChemTS
2,3,300.383,16,21,16,2,2,0,1,0,0,2,0,2,2.1688,ChemTS
0,3,322.8360000000001,17,22,23,2,2,0,0,1,0,3,0,1,2.5228,ChemTS
0,4,378.49400000000014,19,26,26,2,4,0,1,0,0,2,0,1,2.1184999999999996,ChemTS
2,3,311.25899999999996,15,22,12,1,3,3,0,0,0,2,0,2,3.4720000000000013,ChemTS
2,3,301.39,17,22,23,3,2,0,0,0,1,1,0,2,2.7659400000000005,ChemTS
0,2,294.394,20,22,22,0,2,0,0,0,0,2,0,2,5.1048000000000044,ChemTS
0,1,231.33899999999997,15,17,21,1,1,0,0,0,1,1,0,1,3.113120000000002,ChemTS
1,4,284.291,16,21,14,1,4,0,0,0,0,2,0,2,0.745299999999999,ChemTS
1,3,281.359,17,21,19,3,1,0,0,0,0,2,0,2,2.4454000000000002,ChemTS
2,2,288.73400000000004,15,20,13,2,2,0,0,1,0,2,0,2,2.708500000000001,ChemTS
1,5,332.2870000000001,16,24,13,2,5,1,0,0,0,2,0,2,2.4583000000000004,ChemTS
1,6,364.83300000000014,17,25,21,4,3,0,0,1,1,2,0,2,1.4756,ChemTS
1,1,308.15000000000003,14,18,11,1,1,1,0,0,0,2,0,2,3.769400000000002,ChemTS
2,1,286.35,17,21,19,2,1,1,0,0,0,2,0,2,4.406920000000003,ChemTS
0,3,296.41400000000004,19,22,24,2,1,0,0,0,0,3,0,2,3.6386400000000023,ChemTS
2,4,339.34200000000004,16,24,19,3,3,2,0,0,1,1,0,2,3.647140000000001,ChemTS
1,3,325.40799999999996,20,24,23,1,3,0,0,0,0,3,0,2,1.1254,ChemTS
0,4,343.83400000000006,19,24,20,2,2,0,0,1,0,3,0,2,2.3433,ChemTS
0,4,321.40000000000003,20,24,21,2,2,0,0,0,0,3,0,2,1.6421,ChemTS
1,4,263.29699999999997,12,18,10,3,1,1,1,0,1,1,0,2,2.4194000000000004,ChemTS
3,3,312.41400000000004,15,22,28,4,3,0,0,0,0,1,0,0,1.4423000000000008,ChemTS
1,3,317.38900000000007,17,23,23,3,3,0,0,0,0,2,0,1,1.5853999999999995,ChemTS
2,3,345.42400000000004,17,24,19,3,3,0,1,0,0,2,0,2,3.113500000000001,ChemTS
2,2,344.35700000000014,16,24,21,3,2,3,0,0,0,2,0,1,1.1577,ChemTS
0,4,314.77000000000015,13,20,13,1,4,0,1,1,1,1,0,1,0.8876,ChemTS
1,2,364.4890000000002,23,27,28,2,2,0,0,0,0,3,0,2,4.063800000000003,ChemTS
1,4,389.276,17,27,12,1,4,5,0,0,0,2,0,2,4.102300000000002,ChemTS
1,4,306.36200000000014,16,22,22,2,4,0,0,0,0,2,0,1,2.502200000000001,ChemTS
1,3,318.755,17,22,14,1,2,1,0,1,0,2,0,2,2.4452,ChemTS
6,11,501.4250000000002,15,28,25,4,6,0,2,0,1,0,0,0,-1.324099999999997,Graph_MCTS
6,12,560.1850000000001,19,33,30,3,6,0,4,1,2,0,0,0,2.1013,Graph_MCTS
6,9,384.57300000000004,18,27,40,8,1,0,0,0,1,0,0,0,-1.191099999999995,Graph_MCTS
6,10,394.42500000000007,14,26,23,4,6,1,1,0,1,0,0,0,-2.1428999999999974,Graph_MCTS
4,8,469.7640000000001,16,27,26,4,5,0,0,1,1,0,0,0,0.0673000000000023,Graph_MCTS
4,12,576.6980000000003,21,37,29,6,6,1,3,0,3,0,0,0,1.1206000000000005,Graph_MCTS
6,7,446.9920000000002,17,28,33,4,3,2,1,1,1,0,0,0,-0.5986999999999973,Graph_MCTS
6,10,411.8640000000001,14,26,22,3,7,0,1,1,1,0,0,0,-1.6931999999999987,Graph_MCTS
0,6,415.5270000000001,20,28,30,1,5,1,1,0,1,0,0,0,3.4360000000000017,Graph_MCTS
5,8,396.48800000000017,19,28,32,4,5,0,0,0,1,0,0,0,0.34940000000000276,Graph_MCTS
7,11,411.5500000000001,14,26,29,5,5,0,2,0,0,0,0,0,-1.333699999999998,Graph_MCTS
6,11,435.54000000000013,13,26,23,3,5,2,3,0,1,0,0,0,0.0631000000000006,Graph_MCTS
4,6,419.6510000000003,21,28,42,3,2,1,1,0,1,0,0,0,2.9840000000000018,Graph_MCTS
7,10,447.8990000000001,17,30,27,7,4,1,0,1,1,0,0,0,-3.056699999999994,Graph_MCTS
6,9,410.51200000000017,15,26,24,4,3,2,2,0,1,0,0,0,0.7746,Graph_MCTS
2,5,432.55400000000014,20,28,26,0,4,2,2,0,1,0,0,0,4.3567000000000045,Graph_MCTS
2,6,402.0040000000003,19,26,32,3,2,0,1,1,1,0,0,0,3.0825000000000014,Graph_MCTS
3,11,555.6520000000002,24,38,35,7,4,2,1,0,1,1,0,0,1.9340000000000004,Graph_MCTS
8,9,409.40000000000026,12,27,20,7,6,1,1,0,1,0,0,0,-2.8372999999999973,Graph_MCTS
2,8,391.7830000000001,15,26,19,3,6,1,0,1,1,0,0,0,0.15179999999999916,Graph_MCTS
1,9,411.4760000000001,19,28,25,1,7,0,1,0,1,0,0,0,1.0427,Graph_MCTS
5,8,448.5630000000001,17,28,21,2,5,1,3,0,2,0,0,1,1.7788999999999997,Graph_MCTS
11,16,711.4440000000002,22,41,26,5,12,0,1,0,1,2,0,1,-1.8332999999999986,Graph_MCTS
5,12,571.6270000000002,29,41,37,3,9,0,0,0,1,2,0,1,1.9301999999999997,Graph_MCTS
6,10,403.52800000000013,16,27,30,7,2,1,1,0,1,1,0,0,-1.2584999999999966,Graph_MCTS
3,10,775.117,43,54,59,6,2,1,2,0,1,4,0,2,8.278960000000009,Graph_MCTS
2,10,415.5600000000001,18,28,33,5,4,0,1,0,0,1,0,0,0.5319000000000044,Graph_MCTS
5,9,478.5410000000003,19,32,29,6,3,3,1,0,1,1,0,0,0.08087000000000222,Graph_MCTS
1,9,470.46900000000016,22,33,28,2,7,2,0,0,1,1,0,0,1.1842999999999997,Graph_MCTS
4,9,425.4860000000002,18,29,24,5,4,1,1,0,1,1,0,0,0.1280000000000011,Graph_MCTS
2,5,405.56400000000014,21,28,31,3,3,0,1,0,1,1,0,1,3.5592000000000024,Graph_MCTS
8,10,470.6210000000001,19,31,30,6,4,0,2,0,1,1,0,0,-1.8856999999999964,Graph_MCTS
4,9,388.3810000000001,13,26,17,6,5,1,1,0,0,1,0,0,-2.340419999999997,Graph_MCTS
5,9,388.4170000000001,16,26,21,2,6,1,1,0,0,1,0,0,0.5418699999999996,Graph_MCTS
6,9,414.9380000000002,18,28,31,6,3,0,0,1,1,1,0,0,0.027500000000002245,Graph_MCTS
5,9,463.96900000000016,16,29,22,5,5,0,2,1,1,1,0,1,-0.7980999999999983,Graph_MCTS
7,8,392.9360000000002,15,26,33,8,2,0,0,1,0,1,0,0,-2.210199999999995,Graph_MCTS
6,10,421.49900000000014,15,28,28,7,4,1,1,0,1,1,0,0,-2.0243999999999964,Graph_MCTS
8,12,440.5050000000003,17,30,25,8,3,1,1,0,1,1,0,0,-2.641299999999998,Graph_MCTS
6,10,408.8680000000001,13,26,21,6,5,0,1,1,0,1,0,0,-1.4722999999999973,Graph_MCTS
5,9,378.4770000000001,18,27,30,6,3,0,0,0,1,1,0,0,0.6128000000000019,Graph_MCTS
6,8,366.51000000000005,18,26,34,6,2,0,0,0,0,1,0,0,-0.9164999999999957,Graph_MCTS
6,7,405.9960000000001,17,26,32,5,2,0,1,1,0,1,0,0,0.9319000000000017,Graph_MCTS
8,13,469.5030000000003,18,33,31,9,6,0,0,0,1,1,0,0,-4.146599999999995,Graph_MCTS
7,10,391.4800000000002,17,28,29,9,2,0,0,0,1,1,0,1,-0.36812999999999735,Graph_MCTS
6,9,386.47400000000016,16,26,26,4,5,0,1,0,0,1,0,0,-0.8637999999999981,Graph_MCTS
6,11,370.41000000000014,15,26,26,6,5,0,0,0,0,1,0,0,-4.6838,Graph_MCTS
2,8,465.5970000000001,21,31,27,3,5,0,2,0,1,1,0,0,2.1788999999999996,Graph_MCTS
4,10,433.46500000000026,19,30,20,5,4,1,1,0,1,1,0,0,0.06258000000000041,Graph_MCTS
5,9,524.3840000000002,19,31,24,3,5,2,1,0,1,1,0,0,1.2057999999999998,Graph_MCTS
5,13,545.6660000000002,25,38,35,7,5,0,1,0,1,2,0,1,1.499699999999999,Graph_MCTS
8,9,393.48800000000017,19,28,31,5,4,0,0,0,1,1,0,1,0.08580000000000343,Graph_MCTS
4,8,382.4360000000001,18,27,27,4,4,1,0,0,1,1,0,1,0.7794000000000009,Graph_MCTS
7,10,387.46600000000024,14,26,25,7,4,0,1,0,0,1,0,0,-3.6473999999999966,Graph_MCTS
4,10,392.4410000000001,16,27,20,6,4,0,1,0,1,1,0,0,-2.1418199999999965,Graph_MCTS
7,11,387.4180000000001,14,26,21,5,6,0,1,0,1,1,0,0,-2.2943299999999973,Graph_MCTS
4,8,410.95000000000016,19,28,31,6,2,0,0,1,1,1,0,1,2.3171900000000005,Graph_MCTS
3,6,432.9490000000001,18,28,26,4,3,1,1,1,1,1,0,1,1.7038000000000002,Graph_MCTS
4,7,407.0240000000001,18,26,35,4,2,0,1,1,0,1,0,0,2.9411000000000005,Graph_MCTS
6,9,470.44100000000014,18,28,28,7,1,0,1,0,1,1,0,1,0.8947200000000022,Graph_MCTS
4,9,431.6490000000002,18,27,29,3,3,0,3,0,1,1,0,0,2.3877000000000006,Graph_MCTS
6,10,444.64800000000014,18,28,28,4,3,0,3,0,1,1,0,1,1.9877000000000007,Graph_MCTS
5,7,396.4190000000002,18,28,25,4,5,1,0,0,1,1,0,1,0.45009999999999994,Graph_MCTS
5,8,407.58400000000006,20,28,33,5,2,0,1,0,1,1,0,0,0.978000000000002,Graph_MCTS
5,10,366.47000000000014,16,26,30,8,2,0,0,0,1,1,0,1,-0.6228999999999962,Graph_MCTS
3,7,379.5740000000002,19,26,33,5,1,0,1,0,1,1,0,1,2.7848200000000007,Graph_MCTS
4,9,431.94600000000014,17,28,26,5,4,0,1,1,1,1,0,0,0.029000000000000803,Graph_MCTS
6,8,375.38500000000016,17,27,21,5,5,0,0,0,1,1,0,1,1.6509,Graph_MCTS
5,8,394.8590000000001,18,27,23,4,4,0,0,1,1,1,0,1,1.3472699999999997,Graph_MCTS
9,12,388.86400000000003,13,26,25,10,2,0,0,1,1,1,0,1,-3.406399999999997,Graph_MCTS
5,12,400.41700000000014,14,27,20,6,6,0,1,0,1,1,0,0,-1.4975999999999978,Graph_MCTS
2,9,405.79800000000023,17,28,16,5,5,0,0,1,1,1,0,1,0.5295000000000001,Graph_MCTS
5,10,419.4310000000001,16,28,22,3,7,1,1,0,1,1,0,0,-0.6247,Graph_MCTS
6,9,371.4130000000001,16,26,26,5,4,1,0,0,1,1,0,0,-1.058099999999998,Graph_MCTS
5,10,565.7370000000003,26,38,36,5,4,1,2,0,1,2,0,1,3.005700000000002,Graph_MCTS
5,8,500.1090000000002,23,33,38,5,3,0,1,1,1,1,0,0,3.3690000000000024,Graph_MCTS
8,10,416.52500000000015,16,27,24,4,5,0,2,0,1,1,0,0,-1.1387999999999991,Graph_MCTS
4,8,376.46100000000024,18,27,28,6,3,0,0,0,1,1,0,1,0.019020000000001147,Graph_MCTS
2,6,391.43900000000014,21,28,26,1,5,1,0,0,1,1,0,0,2.6926000000000014,Graph_MCTS
4,8,358.31000000000006,16,26,14,4,6,0,0,0,1,1,0,1,-0.07339999999999869,Graph_MCTS
3,9,422.86400000000026,16,28,25,6,3,2,0,1,1,1,0,0,0.4392000000000013,Graph_MCTS
2,8,445.2410000000002,17,27,18,2,6,1,0,0,1,1,0,1,2.0957,Graph_MCTS
2,6,398.45000000000016,20,28,28,2,4,2,0,0,1,1,0,1,2.918400000000001,Graph_MCTS
8,11,418.81300000000016,15,28,20,6,5,1,0,1,1,1,0,0,-0.8611999999999973,Graph_MCTS
3,8,403.77500000000026,15,27,18,3,8,0,0,1,1,1,0,0,-0.2821000000000004,Graph_MCTS
4,11,386.4780000000001,15,26,26,6,4,0,1,0,1,1,0,0,-0.7244999999999975,Graph_MCTS
5,9,379.4460000000002,15,26,21,7,3,0,1,0,1,1,0,2,-0.08497999999999928,Graph_MCTS
9,9,364.4060000000001,16,26,24,6,4,0,0,0,1,1,0,1,-2.0271799999999986,Graph_MCTS
6,8,400.5930000000002,18,27,36,6,2,0,1,0,1,1,0,0,-1.1406999999999945,Graph_MCTS
2,7,377.5330000000002,20,27,35,5,2,0,0,0,1,1,0,0,2.2954000000000008,Graph_MCTS
6,8,439.5500000000001,17,28,27,3,4,2,2,0,1,1,0,0,0.6746000000000001,Graph_MCTS
7,9,396.3790000000002,16,28,21,6,5,1,0,0,1,1,0,1,-0.5860999999999994,Graph_MCTS
8,13,402.41200000000015,14,28,26,8,6,0,0,0,1,1,0,0,-2.0043999999999964,Graph_MCTS
2,9,380.47000000000014,17,26,24,4,4,0,1,0,1,1,0,0,1.9531999999999998,Graph_MCTS
3,11,427.7750000000001,11,26,7,3,8,1,2,1,0,1,0,1,0.20960000000000034,Graph_MCTS
4,5,396.54900000000015,21,27,32,0,5,0,1,0,1,1,0,0,3.689300000000003,Graph_MCTS
5,10,423.4030000000002,17,29,17,3,8,0,1,0,1,1,0,0,-2.280499999999997,Graph_MCTS
7,9,367.4540000000001,16,26,29,7,3,0,0,0,1,1,0,0,-2.196399999999996,Graph_MCTS
5,10,456.29700000000014,17,28,22,5,5,0,0,0,1,1,0,0,1.0046000000000013,Graph_MCTS
4,7,403.3580000000002,17,26,28,6,1,0,0,2,1,1,0,0,1.3485000000000007,Graph_MCTS
5,9,414.80600000000027,15,28,19,6,6,0,0,1,1,1,0,0,-2.005899999999997,Graph_MCTS
4,6,449.0130000000003,19,28,26,2,3,1,2,1,1,1,0,0,4.322300000000004,Graph_MCTS
7,10,390.80700000000013,13,26,20,8,3,1,0,1,0,1,0,1,-1.8049999999999988,Graph_MCTS
2,5,450.3450000000002,18,26,22,1,3,2,1,0,1,1,0,0,4.149900000000004,Graph_MCTS
8,13,562.1870000000002,21,35,32,7,3,0,3,1,1,2,0,0,1.5129700000000006,Graph_MCTS
3,10,556.7040000000003,30,40,44,4,6,0,0,0,1,2,0,1,4.548420000000004,Graph_MCTS
2,5,380.8470000000001,19,26,22,2,3,1,0,1,1,1,0,0,2.4167000000000005,Graph_MCTS
3,7,456.4290000000003,20,28,34,5,2,0,0,0,1,1,0,0,1.8359799999999997,Graph_MCTS
2,9,368.41700000000014,15,26,25,8,2,1,0,0,1,1,0,0,0.265100000000001,Graph_MCTS
2,6,396.5530000000001,20,27,32,2,4,0,1,0,1,1,0,0,1.9458999999999997,Graph_MCTS
4,6,472.6090000000003,25,34,37,6,2,1,0,0,2,1,0,0,3.0512700000000015,Graph_MCTS
1,8,393.83100000000013,17,27,20,5,4,0,0,1,1,1,0,0,0.13907999999999987,Graph_MCTS
2,7,419.8850000000002,16,27,20,5,2,2,1,1,1,1,0,0,1.2022800000000007,Graph_MCTS
4,7,391.44700000000023,19,28,26,5,3,1,0,0,1,1,0,1,1.3463200000000004,Graph_MCTS
6,7,406.4550000000001,16,27,24,4,4,2,1,0,1,1,0,0,0.39670000000000133,Graph_MCTS
2,5,372.5570000000002,22,27,36,4,1,0,0,0,1,1,0,1,3.7001200000000027,Graph_MCTS
2,7,417.0190000000001,19,27,33,4,2,0,1,1,1,1,0,0,2.9701000000000013,Graph_MCTS
7,11,373.3450000000001,13,26,20,7,5,1,0,0,1,1,0,0,-4.446699999999997,Graph_MCTS
6,9,400.5490000000002,16,26,25,6,1,1,2,0,1,1,0,0,0.45970000000000055,Graph_MCTS
2,6,407.5590000000002,20,28,30,5,1,1,1,0,1,1,0,1,3.9207000000000036,Graph_MCTS
5,8,415.97000000000025,18,28,34,7,2,0,0,1,1,1,0,0,0.741700000000002,Graph_MCTS
4,6,399.91900000000004,18,26,23,3,2,1,1,1,1,1,0,1,4.142800000000003,Graph_MCTS
3,5,358.4820000000001,21,26,30,2,3,0,0,0,1,1,0,1,3.6009400000000023,Graph_MCTS
6,8,379.53000000000014,18,26,29,5,2,0,1,0,1,1,0,1,1.7068400000000001,Graph_MCTS
9,7,422.28700000000015,16,26,20,7,2,0,0,0,2,1,0,3,2.1443999999999996,Graph_MCTS
5,7,463.511,18,26,31,4,1,0,2,0,1,1,0,0,3.371900000000002,Graph_MCTS
3,7,381.4480000000002,19,27,28,3,4,1,0,0,1,1,0,0,1.2384999999999995,Graph_MCTS
4,9,446.04200000000026,18,28,28,5,2,0,2,1,1,1,0,1,2.2669200000000007,Graph_MCTS
1,6,441.3010000000003,18,27,22,4,3,1,0,0,1,1,0,1,1.7093,Graph_MCTS
6,10,417.62600000000015,16,26,27,5,2,0,3,0,1,1,0,0,1.7683000000000004,Graph_MCTS
7,13,505.9830000000003,19,34,33,9,4,1,0,1,0,2,0,0,-2.6696999999999953,Graph_MCTS
7,12,521.9510000000002,20,34,25,3,8,1,1,1,0,2,0,0,-0.19610000000000033,Graph_MCTS
7,10,520.0780000000003,25,36,38,7,3,0,0,1,1,2,0,1,2.93054,Graph_MCTS
6,11,515.6330000000003,21,34,30,5,5,1,2,0,1,2,0,1,1.4138,Graph_MCTS
0,4,473.45500000000027,25,30,33,2,2,0,0,0,1,2,0,0,6.844100000000006,Graph_MCTS
6,7,388.3960000000001,15,26,18,4,4,2,1,0,1,1,0,2,1.6111999999999997,Graph_MCTS
4,6,411.4990000000001,19,28,26,3,4,1,1,0,1,1,0,1,2.2130000000000005,Graph_MCTS
8,8,417.9480000000001,14,26,20,7,2,0,2,1,1,1,0,1,-0.49598000000000014,Graph_MCTS
7,9,416.54800000000006,16,27,25,6,2,1,2,0,1,1,0,1,1.0296000000000003,Graph_MCTS
5,9,431.51500000000027,16,28,22,5,4,1,2,0,1,1,0,0,0.1604000000000012,Graph_MCTS
7,9,366.42200000000014,16,26,26,6,4,0,0,0,1,1,0,0,-1.2694299999999983,Graph_MCTS
2,6,362.47,20,26,30,2,4,0,0,0,1,1,0,0,2.1544999999999996,Graph_MCTS
4,7,404.53600000000023,20,28,28,4,3,0,1,0,1,1,0,0,1.5989799999999998,Graph_MCTS
5,8,411.5970000000001,18,27,29,5,2,0,2,0,1,1,0,0,0.355800000000002,Graph_MCTS
4,7,414.6180000000002,18,26,26,2,3,0,3,0,1,1,0,0,1.5594000000000001,Graph_MCTS
6,6,357.5020000000002,20,26,31,5,1,0,0,0,1,1,0,1,1.5563199999999995,Graph_MCTS
4,8,394.51600000000013,20,28,34,4,4,0,0,0,1,1,0,0,0.817700000000003,Graph_MCTS
4,7,395.88700000000017,19,27,26,3,4,0,0,1,1,1,0,0,1.5145000000000004,Graph_MCTS
4,7,383.44500000000016,17,26,22,3,4,1,1,0,1,1,0,0,0.99728,Graph_MCTS
4,10,509.65400000000034,22,34,31,5,5,0,2,0,0,2,0,0,0.5230000000000011,Graph_MCTS
6,9,494.6620000000002,22,33,31,6,2,1,2,0,0,2,0,1,2.4494200000000004,Graph_MCTS
4,9,480.67500000000024,24,33,40,4,4,0,1,0,0,2,0,0,1.383400000000003,Graph_MCTS
7,11,495.6100000000003,20,34,33,9,4,0,1,0,1,2,0,0,-2.6338999999999944,Graph_MCTS
3,8,641.5790000000002,28,40,35,4,4,2,1,0,0,3,0,1,5.437400000000005,Graph_MCTS
4,6,459.46100000000007,16,26,21,2,2,1,3,2,1,1,0,0,3.566700000000001,Graph_MCTS
3,6,362.365,16,26,19,6,3,1,0,0,1,1,0,1,0.0003400000000005621,Graph_MCTS
6,8,415.60400000000016,19,28,37,5,3,0,1,0,1,1,0,0,1.1645000000000012,Graph_MCTS
5,3,396.53500000000014,22,28,25,4,0,1,1,0,3,1,0,3,4.965420000000003,Graph_MCTS
3,11,452.86900000000014,15,28,14,2,7,1,2,1,1,1,0,0,1.0844999999999998,Graph_MCTS
1,5,403.3500000000002,19,26,28,2,3,0,0,2,0,1,0,0,4.5023000000000035,Graph_MCTS
1,4,366.4650000000001,21,27,26,4,2,0,0,0,2,1,0,2,3.163380000000002,Graph_MCTS
2,7,415.4620000000002,18,28,23,3,4,2,1,0,1,1,0,0,1.9662,Graph_MCTS
4,8,454.72800000000024,15,26,22,5,3,1,0,1,1,1,0,0,0.8432000000000004,Graph_MCTS
2,4,390.5740000000001,20,26,26,2,2,0,2,0,1,1,0,1,4.083200000000006,Graph_MCTS
7,10,507.73000000000013,23,34,37,7,2,0,2,0,1,2,0,0,0.4369000000000034,Graph_MCTS
5,9,500.59100000000024,22,34,31,6,2,3,1,0,1,2,0,0,1.7665000000000008,Graph_MCTS
6,11,460.47000000000025,20,33,25,8,4,1,0,0,1,2,0,1,-2.057279999999996,Graph_MCTS
7,10,402.8600000000001,15,26,19,4,5,0,1,1,0,2,0,1,-0.6147000000000011,Graph_MCTS
5,10,594.5320000000003,25,37,32,5,5,0,1,0,0,3,0,1,2.2670999999999992,Graph_MCTS
11,12,553.4650000000001,16,32,25,8,5,0,2,0,0,2,0,0,-2.8649999999999967,Graph_MCTS
5,11,555.9910000000002,24,38,31,5,7,1,0,1,0,3,0,0,1.5814000000000004,Graph_MCTS
3,5,396.6450000000002,21,27,40,4,1,0,1,0,1,1,0,0,2.868800000000001,Graph_MCTS
2,4,418.02700000000016,22,27,24,1,1,0,2,1,1,2,0,2,5.900720000000005,Graph_MCTS
6,9,430.48400000000026,21,31,27,6,3,1,0,0,1,2,0,0,0.7657700000000007,Graph_MCTS
4,8,359.43000000000006,18,26,25,5,3,0,0,0,0,2,0,1,0.7465000000000015,Graph_MCTS
4,12,523.5870000000002,23,36,30,5,6,1,1,0,0,3,0,1,1.3950000000000007,Graph_MCTS
6,13,571.1290000000002,22,37,31,8,4,0,2,1,0,3,0,1,0.5038000000000009,Graph_MCTS
6,10,394.5260000000001,16,26,22,6,2,0,2,0,0,2,0,1,-0.3583999999999982,Graph_MCTS
6,9,483.29800000000006,18,30,20,6,4,1,0,0,1,2,0,0,-0.5193999999999979,Graph_MCTS
2,5,400.86200000000025,21,28,21,2,4,0,0,1,1,2,0,2,3.328020000000002,Graph_MCTS
5,11,482.60300000000024,22,33,34,4,6,0,1,0,0,2,0,0,1.7374000000000005,Graph_MCTS
5,9,367.38100000000014,16,26,22,5,4,1,0,0,0,2,0,0,-0.8086999999999969,Graph_MCTS
7,9,366.4660000000001,17,26,30,6,3,0,0,0,0,2,0,1,-0.08659999999999918,Graph_MCTS
6,8,405.4280000000002,19,28,19,1,7,0,1,0,1,2,0,0,0.3276999999999999,Graph_MCTS
6,8,402.4800000000003,18,28,22,6,3,0,1,0,1,2,0,2,-0.050879999999999204,Graph_MCTS
6,10,494.52600000000024,20,33,19,4,6,1,2,0,1,2,0,0,0.3857,Graph_MCTS
3,9,374.3780000000001,16,26,14,4,5,0,1,0,0,2,0,1,-0.4817,Graph_MCTS
7,10,439.5610000000002,19,30,30,7,2,1,1,0,1,2,0,0,0.5454000000000017,Graph_MCTS
1,7,385.42000000000013,20,28,23,3,5,0,0,0,1,2,0,1,1.8783999999999998,Graph_MCTS
6,6,380.5580000000001,19,26,32,4,2,0,1,0,0,2,0,1,1.119100000000001,Graph_MCTS
7,8,394.4780000000002,16,26,18,4,4,0,2,0,0,2,0,2,1.1712200000000004,Graph_MCTS
8,13,441.91900000000015,13,27,20,5,6,0,2,1,0,2,0,0,-1.9802999999999957,Graph_MCTS
7,13,427.50500000000017,12,26,18,5,5,1,3,0,0,2,0,0,-1.8392999999999975,Graph_MCTS
8,13,497.96500000000015,19,33,24,7,5,0,1,1,1,2,0,1,0.18920000000000065,Graph_MCTS
