smiles,QED,SA,EGFR_Docking,HER2_Docking,source
[C@](C#Cc1ccccc1)C(=O)Nc1c[nH]nc1-c1ccc(Cl)cc1Cl,0.571,4.097,-9.3,-10.1,seed42
[C@](COC(=O)c1cnc(-c2ccccc2)nc1)c1cccc(F)c1,0.574,3.462,-9.2,-10.1,seed42
[C@]1(COc2ccc(C#N)c(Cl)c2)[C@H]2CC[C@@]12C,0.717,4.389,-8.5,-8.3,seed42
[C@](O)(Cc1ccccc1)C(=O)NCc1ccc(F)cc1F,0.789,3.186,-8.9,-9.7,seed42
[C@]1(C(=O)Nc2cccc(-n3cccn3)c2)CCCN(c2ncn[nH]2)C1,0.658,3.985,-9.25,-11.0,seed42
[C@](Cl)C(=O)Nc1sc2ccccc2c1NC(=O)Cc1cccc(Br)c1,0.488,3.749,-9.05,-9.9,seed42
[C@]1(C#N)C2=Cc3ccccc3n2[C@H]1C(=O)Nc1ccc(C(N)=O)cc1,0.671,4.075,-8.95,-8.5,seed42
[C@]1(COc2ccccc2)NC(N)=NO1,0.627,3.973,-8.5,-8.1,seed42
[C@](O)(c1ccccc1)c1ccccc1F,0.691,2.843,-8.6,-8.4,seed42
[C@](N)c1nc2ccccc2cc1OC1CCCCC1,0.755,3.568,-8.8,-9.3,seed42
[C@](c1ccccc1OCc1cccc(C(F)(F)F)c1)[NH+]1CCCC1,0.785,4.236,-9.0,-9.5,seed42
[C@]1(c2ccccn2)NC(=O)N(CCCC(=O)N(C)[C@@H]2CCc3ccccc32)C1=O,0.667,4.242,-9.45,-10.6,seed42
[C@](C#N)(OC[C@@H](O)c1ccccc1)c1ccc(-c2ccccc2)cc1,0.624,3.704,-9.3,-10.8,seed42
[C@]1(CC2CN(c3ncccn3)CCC2=O)CC1,0.691,4.485,-8.6,-7.5,seed42
[C@]1(C)C[C@@](CO)(CC(=O)N/N=C/c2ccco2)C1,0.513,4.038,-8.3,-7.9,seed42
[C@]1(NC(=O)Cc2ccccc2)Oc2ccc3c(C#N)cccc3c21,0.707,3.487,-9.6,-10.2,seed42
[C@]=CCNC(=O)Nc1cnccc1C#Cc1ccccc1,0.745,3.95,-9.05,-8.3,seed42
[C@]1(c2ccccc2)NC(=O)N(CC(=O)Nc2ccccc2OC(F)F)C1=O,0.66,3.463,-9.05,-10.0,seed42
[C@](O)(c1ccccc1)c1cccc(CNC2CC2)c1,0.756,3.026,-8.75,-9.6,seed42
[C@]1(C#N)CCC[C@@H]1CCc1ccc(Br)cc1,0.709,4.153,-8.45,-8.0,seed42
[C@](CO)c1ccc(F)c(S(=O)(=O)C2CCCC2)c1,0.81,3.898,-8.75,-9.0,seed42
[C@](C#C[C@H]1CCCCN1C(=O)CCN1CCCC1=O)c1ccc(F)cc1,0.68,4.365,-9.6,-8.7,seed42
[C@]1(C#N)CCN(c2cc(OSc3ccccc3)ncn2)C1,0.709,4.243,-8.6,-9.0,seed42
[C@](O)(C[NH+](C)C(=O)c1ccc(Cl)cc1)c1ccc(Cl)cc1,0.808,4.467,-8.8,-9.0,seed42
[C@](C#N)(OCc1csc(Cc2cccc(Cl)c2)n1)n1nnnc1C,0.572,4.012,-8.85,-9.4,seed42
[C@](O)(C[NH2+]C1CC1)Nc1cccc2ccccc12,0.649,4.155,-8.65,-8.5,seed42
[C@]1(C#N)CCCN(c2ccc(Cl)c(S(=O)(=O)NC(F)(F)F)c2)C1,0.735,4.097,-8.85,-8.0,seed42
[C@](O)(c1ccccc1)C(=O)N[C@@H](CS(C)(=O)=O)[C@H](c1ccc(F)cc1)c1ccccc1,0.462,4.287,-5.0,-8.8,seed42
[C@](C#N)(Oc1ccc(F)cc1)c1cnc2ccccc2n1,0.638,3.438,-8.95,-9.8,seed42
[C@](C(=O)Nc1ccccc1F)N1CCN(c2ccccc2F)CC1,0.837,3.511,-9.0,-10.1,seed42
[C@](O)(c1ccccc1)[C@H]1CCC[C@@H]1OC(=O)C1CCCC1,0.756,4.16,-9.0,-9.5,seed42
[C@](C#N)(OC1CCN(C(=O)C2CC2)CC1)c1ccncc1,0.747,3.734,-8.7,-8.0,seed42
[C@]1(N)CC[C@@H](Oc2ccc(Cl)cc2Cl)C1,0.766,4.095,-8.45,-7.4,seed42
[C@]1(c2ccccc2)NC(=O)N(c2cccc(Sc3ccc(F)cc3Cl)c2C)[C@@H]1C,0.421,4.27,-9.45,-9.1,seed42
[C@](CN[C@@H](c1ccccc1Cl)c1cccs1)(c1ccccc1)c1ccncc1,0.3,3.968,-9.5,-8.2,seed42
[C@](CCN(C)c1ccccc1O)Cc1ccccc1,0.696,3.526,-8.6,-9.1,seed42
[C@](C#N)(OCc1ccc2c(c1)OCCO2)c1c[nH]c2cccc(F)c12,0.688,3.772,-9.3,-10.5,seed42
[C@]n1c(=O)c(C(=O)N2CCCCC2)ccc1SCC(=O)NC1CCCCC1,0.687,3.791,-9.35,-9.6,seed42
c1ccc(CN2CCC[C@@H]2c2cc[nH]n2)cn1,0.775,4.196,-8.4,-8.3,seed42
O=C(CSc1ccccc1)C1CCN(S(=O)(=O)c2cc([N+](=O)[O-])ccc2O)CC1,0.302,3.399,-9.45,-9.8,seed42
Nc1ccc(OCCc2ccc(C#N)cc2)c(Cl)c1,0.768,2.9,-8.7,-8.5,seed42
Brc1cc(F)cc(NC(=O)CN2C(=O)S/C(=C3/C=CCC3)N(c3ccccc3)C2=O)c1,0.467,3.941,-9.5,-11.9,seed42
BrCc1cccn1Cc1coc2ccccc12,0.562,3.462,-8.7,-8.5,seed42
Brc1ccc2ncncc2c1,0.565,3.055,-7.85,-6.8,seed42
Br[C@]1(F)CCN(S(=O)(=O)c2ccccc2)C1,0.685,3.955,-8.4,-8.0,seed42
Br/C=C(/CCO)NCc1ccc(Cl)cc1,0.773,3.631,-8.05,-7.3,seed42
O=C(NCc1cccc(C(F)(F)F)c1)N/N=C/c1ccccc1OCc1ccccc1C(F)(F)F,0.135,3.432,-9.85,-12.3,seed42
[C@]1(C(=O)CSc2n[nH]c(=O)n2Cc2ccc3c(c2)CCCN3)CCCO1,0.653,4.073,-9.4,-9.9,seed42
[C@](COC(=O)c1ccc(I)cc1)c1cccc(OCc2cccnc2)c1,0.286,3.489,-8.85,-9.8,seed42
[C@]1(c2ccco2)NC(=O)N(CC(=O)Oc2ccccc2[N+](=O)[O-])C1=O,0.183,3.773,-8.95,-9.8,seed42
[C@](Cl)c1cccc(CNC(=O)N[C@@H]2CCCC[C@@H]2CO)c1,0.683,4.309,-8.85,-9.0,seed42
[C@]1(CC(C)C)C[C@@H](NCc2ccccc2-c2ccccc2)C(=O)c2ccccc21,0.461,3.933,-9.65,-9.5,seed42
[C@](C#Cc1ccccc1)CC(=O)Nc1cc(C(=O)[O-])ccc1Cl,0.776,3.926,-9.15,-10.3,seed42
[C@]Oc1ccccc1OCc1nc(CC(C)C)cs1,0.702,3.706,-8.3,-8.6,seed42
[C@](O)(c1cnncc1OCC(N)=O)C(c1ccccc1)c1ccccc1,0.583,3.628,-9.3,-7.9,seed42
[C@](C#CCCNC(=O)c1cccc(F)c1)C1(c2ccccc2)CC1,0.56,3.646,-9.1,-10.5,seed42
[C@]1(c2ccccc2)Oc2ccc(Br)cc21,0.658,3.365,-8.8,-7.9,seed42
[C@]O[C@H](c1ccc(Cn2cccc2)cc1)C(=O)Nc1cc(C)on1,0.657,4.274,-8.95,-10.1,seed42
[C@](C#N)(CNC(=O)C(=O)Nc1ccc2c(c1)CCC2)c1cccc(F)c1F,0.714,3.678,-9.25,-10.9,seed42
[C@](O)(c1c(F)cccc1F)COc1n[nH]c2ccccc12,0.675,3.608,-9.2,-10.3,seed42
[C@]1(c2ccc(F)cc2)NC(=O)N(Cc2ccccc2)C1,0.813,3.329,-9.0,-9.7,seed42
[C@]1(C#N)N(c2ccc(C)c(C(F)(F)F)c2)C(=O)N(CCc2ccccc2)C1,0.69,3.717,-9.25,-10.7,seed42
[C@](O)(c1ccc([N+](=O)[O-])cc1)C(=O)N1CCC(c2ccccn2)CC1,0.582,3.518,-9.05,-9.9,seed42
[C@]1(CCc2ccccc2F)NC(=O)N1Cc1ccc(C#N)cc1,0.821,3.495,-9.1,-10.1,seed42
Nc1ccc(Sc2nc(N)cc(NCc3ccc4c(c3)OCO4)n2)cc1,0.366,3.493,-9.35,-10.3,seed42
CC(C)c1ccccc1NC(=O)CN1C(=O)N[C@](C)(c2ccccc2Br)C1=O,0.585,3.654,-9.3,-10.1,seed42
O=C(c1ccc(Cl)cc1Cl)N1CCC(C(F)(F)F)CC1,0.649,3.07,-8.9,-9.3,seed42
[C@]1(NC2CCCCC2)CCSC1(C)C,0.653,4.21,-8.0,-7.4,seed42
c1cnnnc1COc1ccc(S(=O)(=O)N2CCN(c3ccc(F)c(F)c3)CC2)cc1,0.473,3.45,-9.65,-10.5,seed42
c1ccc(CNc2ccc(Br)c(O)c2)cc1,0.795,2.752,-8.5,-8.8,seed42
c1ccc(-c2ccccc2NCC(=O)N2CCN(c3cccc(Cl)c3)CC2)cc1,0.564,2.939,-9.75,-10.7,seed42
[C@](O)(c1ccc([N+](=O)[O-])cc1)c1ccc(NCC(=O)NC2CC2)cc1,0.431,3.233,-9.0,-9.1,seed42
[C@]/C=C1/N=C(c2ccc(OC(C)C)c(OC)c2)C(=O)N=C1SCc1cccc(I)c1,0.38,4.249,-8.85,-10.2,seed42
[C@](C#Cc1ccccc1Cn1cccn1)NC(C1CC1)C1CC1,0.556,4.148,-8.8,-8.7,seed42
[C@]1(c2ccc(F)cc2F)NC(=O)N(Cc2cccc3ccccc23)C1=O,0.631,3.44,-9.75,-11.2,seed42
c1ccc(-c2coc(C(=O)N3C[C@@H]4CCC[C@@H]4C3)c2)cc1,0.738,4.022,-9.3,-10.3,seed42
O=C(c1cccc(F)c1)N1CCN(C(=O)/C=C/CCc2cc(F)ccc2F)CC1,0.618,3.297,-9.45,-10.0,seed42
[C@]1(CC(=O)Nc2nc3ccc(Cl)cn3n2)CCCN(Cc2ccc([O-])cc2)C1,0.615,4.299,-9.5,-11.0,seed42
c1ccc(-c2n[nH]cc2CN(Cc2nc3ccccc2-3)C2CCCC2)cc1,0.579,3.888,-9.8,-10.2,seed42
[C@](O)(c1ccccc1)[C@@H]1CCCCN1C(=O)NNc1ccccc1,0.654,3.791,-9.75,-8.6,seed42
[C@](O)(c1ccco1)[C@@H]1CCCCN1Cc1ccc(OCC(F)(F)F)cc1,0.714,3.959,-8.9,-8.7,seed42
[C@]1(NC(=O)c2cccc(C#N)c2)NCc2c1CC[C@@H](C)C2,0.774,4.471,-9.15,-9.8,seed42
[C@](CCl)(Oc1cnnc(Br)c1)NC1CCCC1,0.748,4.356,-8.25,-8.2,seed42
[C@]1(c2ccc(Cl)cc2)NC(=O)N1CC(=O)NCC1(c2ccccc2)CC1,0.723,3.566,-9.6,-10.3,seed42
[C@](C#Cc1ccc(Cl)c(Cl)c1)[C@H]1Oc2ccccc2NC1,0.692,4.472,-9.25,-10.1,seed42
[C@]1(C)CCC[NH+]1CCN1CCN(c2nc3ccccc3n2Cc2ccccc2)CC1,0.585,4.497,-9.35,-10.1,seed42
[C@](CN(C)C(=O)N1CCCC1)c1nc(C(C)C)nc(C(C)C)c1C,0.728,4.247,-8.8,-10.1,seed42
[C@]1(NC(=O)c2ccc[nH]2)Nc2c(Cl)cccc2N1,0.571,4.061,-8.8,-9.2,seed42
[C@]#CC1CCN(C(=O)NC[C@H](c2ccco2)N2CCOCC2)CC1,0.753,4.409,-8.5,-8.9,seed42
[C@]#Sc1n[nH]c2c1CN(C1CCCCC1)CC2,0.728,4.297,-8.15,-8.3,seed42
[C@]#CCNC(=O)CC[S@@](=O)Cc1ccc(C(F)(F)F)cc1,0.717,4.445,-8.4,-8.8,seed42
[C@](O)(c1ccc(F)cc1)c1nnc(SCc2cccc(Cl)c2)o1,0.589,3.459,-9.2,-10.3,seed42
[C@](Cc1ccccc1)c1ccc(Cl)nc1,0.616,3.417,-8.55,-8.4,seed42
[C@](C#Cc1ccccc1)c1ncc[nH]1,0.567,4.111,-8.2,-7.8,seed42
[C@]1(c2ccccc2)NC(=O)N(Cc2ccc(F)cc2)C1,0.813,3.335,-9.1,-9.9,seed42
[C@](C(=O)c1ccc(F)cc1)N1CCN(C(=O)c2ccccc2[N+](=O)[O-])CC1,0.359,3.587,-9.15,-10.1,seed42
[C@]1(c2ccccc2)OCC[C@@H]1OC1CCC1,0.675,4.126,-8.3,-8.0,seed42
[C@](CCl)c1ccc(F)c(C(F)(F)F)c1,0.433,3.96,-8.15,-7.9,seed42
[C@](C#Cc1nccc2ccccc12)NC[C@H](O)c1cccc(Cl)c1,0.335,4.382,-9.15,-10.5,seed42
O=C(Nc1ccccc1OCc1ccccc1)[C@H]1COCCO1,0.822,3.39,-8.95,-8.8,seed42
Nc1ccccc1COc1ccc([N+](=O)[O-])c(Cl)c1,0.428,2.986,-8.8,-9.0,seed42
[C@](C#N)([C@H]([NH3+])c1ccccc1)c1ccccc1O,0.756,4.298,-8.55,-8.5,seed42
[C@](O)(CCNC(=O)c1cc(F)cc(F)c1)N1CCN(c2ccccc2)CC1,0.717,3.304,-9.3,-9.2,seed42
[C@]1(C)[C@@H](CCO)C[C@@H]1NC(=O)Nc1cccc(-c2ccccn2)c1,0.69,4.264,-9.3,-10.2,seed42
[C@](O)(c1ncc[nH]c1=O)c1c(O)ccn1Cc1ccc(Cl)cc1Cl,0.563,3.938,-8.95,-8.8,seed42
[C@](C#N)(O[C@@H](C)C(=O)Nc1ccc(F)cc1)c1cccc([N+](=O)[O-])c1,0.541,3.841,-9.1,-9.9,seed42
[C@]1(C#N)CN(c2ccc(OC(F)F)cc2)CN1C(=O)c1cccs1,0.75,3.928,-8.85,-8.3,seed42
[C@]1(C#N)COc2ccc(S(=O)(=O)CCC(F)(F)F)cc21,0.759,4.088,-8.7,-7.8,seed42
[C@](O)(c1ccccc1)C1(CNC(=O)c2cccc(I)c2)CC1,0.644,3.442,-9.1,-10.0,seed42
[C@](O)(c1nc(C2CC2)no1)[C@@H](CO)c1ccc(Cl)cc1,0.786,4.209,-8.7,-8.7,seed42
n1cnn(-c2ccc(C(=O)Nc3nc(-c4ccc[nH]4)ccc3)cn2)c1,0.497,3.571,-9.3,-10.3,seed42
n1ccnc(Nc2cccc(C(F)(F)F)c2)c1,0.774,3.043,-8.65,-8.9,seed42
[C@](C#N)([C@H]([O-])Cc1ccc(Cl)cc1)NC(=O)N(C)c1ccc(F)cc1,0.791,4.306,-9.1,-9.0,seed42
[C@](F)(c1ccc([N+](=O)[O-])cc1)N1CCOCC1,0.358,3.42,-8.25,-7.8,seed42
[C@]1(C#N)CCN(C(=O)Cc2ccc(Br)s2)C1,0.741,4.081,-8.1,-7.9,seed42
O=C(COc1ccccc1Br)[C@@H]1CN(C2CC2)CC[C@@H]1c1c[nH]c2ccccc12,0.462,4.282,-9.4,-8.0,seed42
Fc1ccc(S(=O)(=O)N[C@@H]2CCCC2(CO)C(F)(F)F)cc1,0.725,4.453,-8.75,-8.3,seed42
[C@]([C@@H]1CCCCN1c1ccc(F)cc1)C(=O)Nc1ccccc1OCn1ccccc1=O,0.509,4.246,-9.6,-9.9,seed42
[C@](CNC(=O)Cc1ccc(C(F)(F)F)cc1)NNc1ncccn1,0.308,3.841,-8.95,-9.7,seed42
[C@](C#N)([C@H]1CCCN1c1ncnc(Nc2ccc(C)cc2)c1[N+](=O)[O-])c1ccccc1,0.366,4.138,-9.1,-8.3,seed42
n1cncn1CN1CCc2ccc(F)cc21,0.664,3.533,-8.5,-7.8,seed42
[C@]O[C@H](Cn1cnc(-c2cccc(OC)c2)n1)C(=O)NCC#Cc1ccccc1,0.528,4.419,-8.85,-9.3,seed42
[C@](CC(=O)NCCCNC(=O)c1ccccc1)c1ccc(C(C)(C)C)cc1,0.601,3.336,-9.15,-9.9,seed42
[C@]1(c2ccccc2)NC(=O)c2cccnc2N1CC(=O)Nc1ccc(N2CCCC2=O)cc1,0.536,3.592,-10.05,-9.5,seed42
c1ccc2c(c1)N(Cc1ccc[nH+]c1)CCC2,0.667,4.104,-8.85,-8.2,seed42
c1cncc(C(C)(C)NS(=O)(=O)CCO)n1,0.638,3.989,-8.15,-6.5,seed42
[C@]c1c(C)[nH]c2cc(C(=O)Nc3cccnc3OC)c(=O)n(C)c12,0.669,4.009,-9.55,-9.3,seed42
c1cc([C@@H]2C-c3ccccc3C(=O)N2C(C)C)nc2ccccc12,0.603,3.778,-9.55,-8.2,seed42
c1ccc(COc2nc3ccccc3[nH]2)cc1C(=O)[O-],0.677,3.526,-8.95,-10.2,seed42
[C@]c1c(C)sc(CCNC(=O)c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2C)n1,0.522,4.054,-8.9,-9.7,seed42
[C@](c1cccc(Cl)c1)n1cnc2ccc(SCC(=O)NCc3ccc(F)cc3)cc2c1=O,0.307,3.747,-9.6,-11.0,seed42
[C@]1(C#N)C[C@H](Oc2ccccc2)c2ccccc21,0.694,3.999,-8.95,-8.5,seed42
[C@]c1cccc(NC(=O)c2cnc([C@H](C)O)n2Cc2ccccc2)c1,0.654,4.23,-9.15,-10.0,seed42
c1ccc(CNC2CCC(Oc3cccnc3)CC2)c(F)c1,0.814,3.101,-8.95,-9.6,seed42
c1nc(C[NH2+]Cc2cccnc2)sc1Cc1ccccc1,0.659,4.026,-8.55,-8.9,seed42
c1ccc(OCCNC(=O)CN2CC[NH+](S)CC2)cc1,0.377,4.047,-8.3,-7.7,seed42
c1ccc(C2=NOc3c2cnn3CC(N)=O)cc1,0.647,3.6,-8.95,-9.1,seed42
c1cc2cc(-c3ccccc3)nc(-n3cccc3)c2c(=O)n1COC(=O)c1ccccc1,0.287,3.532,-10.15,-10.8,seed42
[C@](C(=O)OCc1ccccc1Br)[C@H]1CCCO1,0.702,4.339,-8.45,-8.1,seed42
[C@]1(CCc2ccccc2)NC(=O)N(Cc2cccc(C(F)(F)F)c2)C1=O,0.721,3.435,-9.35,-11.9,seed42
O=C([O-])c1ccc(CN2C(=O)[C@@H]3CCCC[C@@H]3C2=O)cc1,0.667,4.107,-9.05,-10.1,seed42
C=CCN(C)C(=O)COc1cccc2ccccc12,0.669,2.984,-8.7,-9.1,seed42
NC(=O)COc1cccc(NC(=O)/C=C/c2ccccc2[N+](=O)[O-])c1,0.353,3.086,-9.0,-10.3,seed42
[C@](C#Cc1ccccc1)NC(=O)Nc1ccc([N+](=O)[O-])c(Cl)c1,0.292,3.729,-9.2,-9.3,seed42
[C@]1(C#N)CC[C@@H](Nc2ccc(Cl)cc2C(F)F)c(=O)n1Cc1ccccc1,0.689,4.211,-8.95,-8.8,seed42
[C@](O)(c1ccccc1)[C@H]1CCCCN1Cn1c(=O)[nH]c2ccccc21,0.67,3.965,-9.6,-8.7,seed42
c1ccc(C[C@@H]2Sc3ccccc3NC2=O)cc1,0.791,3.383,-8.75,-8.0,seed42
c1ccc(CC(=O)Nc2ccc(-c3nnc4n3CCC4)cc2F)cc1,0.696,3.079,-9.65,-11.2,seed42
c1ccc(C[NH+]2CCC(Oc3ccc(C(F)(F)F)cn3)CC2)cc1,0.829,4.35,-9.15,-10.6,seed42
c1nn(CC(C)C)c(C(=O)NCCOc2ccccc2)c1Cl,0.698,3.177,-8.55,-8.8,seed42
[C@](c1ccc2ccccc2c1O)c1n[nH]c(C2CC2)n1,0.663,3.976,-9.15,-10.0,seed42
[C@](O)(C1CCCCC1)C(=O)c1c(Cl)cccc1Cl,0.72,3.412,-8.65,-7.6,seed42
[C@](O)(c1ccc([N+](=O)[O-])cc1)c1cc(Br)cc(Cl)n1,0.424,3.646,-8.7,-8.5,seed42
[nH]1C[C@H](C(=O)NCc2ccc(NCc3ccccc3)s2)cn1,0.666,4.297,-8.9,-9.3,seed42
[C@]1(CO)C[C@H]1CNC(=O)c1ccccc1C1=CCCC1,0.764,4.322,-9.0,-8.4,seed42
C[C@H]1C[C@H](C)CN(S(=O)(=O)Nc2cccc(Cl)c2)C1,0.833,3.88,-8.65,-9.7,seed42
Nc1nc(SCC(=O)NC2CCCC2)c[nH]1,0.589,3.782,-8.3,-7.6,seed42
c1ccc(-c2nnc(CNC(=O)C3CC[NH+](CC4CC4)CC3)n2CC(C)C)cc1,0.617,4.349,-8.95,-9.7,seed42
[C@](O)(c1ccccc1)[C@H]([NH3+])c1ccc(Br)s1,0.799,4.479,-8.35,-7.7,seed42
[C@](C)(CNC(=O)N[C@H]1CCC[C@@H](C(N)=O)C1)NC1CC1,0.475,4.43,-8.9,-8.8,seed42
N#Cc1cccc(C(=O)NCc2nc3ccccc3c(=O)[nH]2)c1N,0.528,3.408,-9.3,-10.2,seed123
NC(=O)C[C@H](Cc1ccccc1)N(C)S(=O)(=O)C1CCCC1,0.728,3.915,-8.85,-8.6,seed123
Nc1ccc2c(c1)ncn2NCc1ccco1,0.572,3.576,-8.75,-8.1,seed123
NS(=O)(=O)c1cc(C(=O)N2CCC[C@@H]2c2ccc(F)cc2F)on1,0.797,4.134,-9.0,-9.0,seed123
Cc1cc(C)cc(NC(=O)C(=O)Nc2ccc(F)cc2Cl)c1,0.729,2.901,-9.3,-10.5,seed123
CCn1c(=O)c(C(=O)Nc2ccc(Br)cc2)cn2nc(C)nc21,0.66,3.522,-9.05,-9.7,seed123
C[S@](=O)c1ccc(CNC2CCCC2)c(Br)c1,0.824,3.938,-8.35,-7.9,seed123
Cc1ccc([C@H](C)NC(=O)N(C)CCC2CCCC2)cc1,0.762,3.472,-8.95,-9.9,seed123
COc1c(C)scc1C(=O)Nc1ccc2oc(C)c(C)c2c1,0.663,3.433,-9.2,-9.5,seed123
Cn1cnnc1SCC(=O)N(C)CCOc1ccccc1,0.625,3.136,-8.25,-8.2,seed123
[S@](=O)c1ccc(CNC(=O)[C@@H]2CCCC[C@@H]2C(=O)[O-])cc1,0.755,4.491,-8.9,-8.5,seed123
S1CCC[C@@H]([C@@H](CNC(=O)c2ccc(O)c(F)c2)N2CCOCC2)C1,0.734,4.386,-9.05,-8.4,seed123
O=C(N/N=C/c1ccc(F)cc1)c1cccc(F)c1,0.569,2.728,-8.85,-10.2,seed123
OC[C@@H](Nc1cccc(Cl)c1)C(=O)[O-],0.632,3.965,-8.05,-7.1,seed123
O=C(Nc1nc2cc(Cl)ccc2o1)c1c(F)c([N+](=O)[O-])ccc1O,0.45,3.603,-9.5,-11.2,seed123
CSc1ncccc1C(=O)Nc1nnc(-c2cccc(Cl)c2Cl)s1,0.536,3.348,-9.1,-8.8,seed123
S1=C/C(=C/c2ccc(NC(=O)C3CC3)cc2Br)S1,0.275,4.305,-8.5,-8.6,seed123
Sn1c(Cc2cccs2)nnc1SCC(=O)Nc1ccc(Cl)cc1Cl,0.34,3.613,-8.55,-8.8,seed123
S=C(NCC(F)(F)F)N(Cc1ccco1)c1ccccc1,0.771,3.39,-8.6,-7.2,seed123
S/C(=N/C(=C\NN=S)Nc1cccc(C(F)(F)F)c1)Nc1ccccc1Cl,0.12,4.267,-8.6,-6.1,seed123
SCCn1c(=O)[nH]c(=O)c2cc(Cl)ccc21,0.696,3.432,-8.3,-7.4,seed123
COc1cc(OC)c(C(=O)[C@H](C#N)c2nc3ccccc3s2)cc1OC(F)F,0.443,3.979,-8.85,-10.1,seed123
O=C(Nc1ccc(Cl)c(Cl)c1)c1ccc(Cl)c(-c2ccncc2)c1,0.512,2.846,-9.45,-11.3,seed123
n1cncn1CCNC(=O)c1cc(-c2ccccc2F)nn(C#N)c1=O,0.609,3.783,-9.3,-10.3,seed123
O=C(NCCOc1ccccc1)Nc1cccc(OCc2ccc(F)cc2)c1,0.461,2.774,-9.35,-10.4,seed123
NC(=O)COCCNC(=O)c1ccc([N-]S(=O)(=O)c2ccc(F)cc2)cc1,0.522,3.973,-8.9,-9.2,seed123
COc1ccc(-c2cc(C(=O)[C@@H](C(C)(C)C)C(C)C)ccc2O)cc1,0.624,3.729,-9.2,-8.2,seed123
O=C(Cn1c(=O)[nH]c2ccccc21)Nc1ccccc1OCC(F)(F)F,0.63,3.159,-9.1,-10.4,seed123
[NH3+]Cc1ccc(OC[C@H]2COc3ccccc32)cc1,0.809,4.1,-8.9,-9.0,seed123
[NH3+]Cc1ccc(N2CCOCC2)cc1C(F)(F)F,0.771,3.768,-8.6,-8.2,seed123
[NH3+][C@@H](c1ccccc1F)C1CCCCC1,0.674,4.099,-8.5,-8.1,seed123
[C@@H]O[C@@H](CNC(=O)Cc1ccc(-c2ccccc2)cc1)c1ccc(Cl)cc1,0.522,3.657,-9.15,-10.5,seed123
[C@@H](CNC[C@H]1CCCO1)N[C@H](C)c1ccc(C(N)=O)cc1,0.532,4.362,-8.45,-8.7,seed123
[C@@H]1[C@H](c2ccc(Cl)cc2)Nc2c1ccc1ccc(Cl)cc12,0.493,4.142,-5.0,-9.8,seed123
[C@@H](C#N)S(=O)(=O)NNC(=O)CSCc1ccccc1,0.616,3.76,-8.45,-7.8,seed123
[C@@H]1C(C)(C)C[C@H]1C(=O)NCc1cccc([N+](=O)[O-])c1,0.568,3.982,-8.75,-9.1,seed123
[C@@H]1C(=O)N(CCc2cccc(Cl)c2)Nc2cc(S(N)(=O)=O)ccc21,0.767,3.927,-9.35,-9.7,seed123
[C@@H](C)c1ccc(C(=O)N2CC[C@@H](CO)C2)c(OCc2ccccc2)c1,0.779,3.726,-9.2,-9.7,seed123
[C@@H]1CCCN(C(=O)c2ccccc2OC2CCC(C(=O)[O-])CC2)C1,0.745,3.961,-9.35,-9.4,seed123
[C@@H](C)c1ccc(CNC(=O)c2ccc(NC(=O)c3ccoc3)cc2)cc1,0.607,3.224,-9.25,-10.2,seed123
[C@@H]1CCCCN1C(C)C,0.419,4.205,-7.35,-5.6,seed123
[C@@H]S(=O)(=O)c1ccc(C(=O)N2CCOCC2)cc1,0.687,3.297,-8.45,-8.1,seed123
[C@@H]OC(=O)CCN1C(=O)c2ccc(S(=O)(=O)NCc3ccccc3C)cc2C1=O,0.445,3.58,-9.2,-10.4,seed123
[C@@H](C(=O)N1CCN([C@@H](C)c2ccccc2)C[C@@H]1O)c1ccc([N+](=O)[O-])cc1,0.547,4.42,-9.05,-9.5,seed123
[C@@H]([NH3+])c1cc(Cl)ccc1OC[C@H]1CCCCO1,0.795,4.196,-8.6,-8.2,seed123
[C@@H]OCCS(=O)(=O)Cc1cccnc1OCc1ccccc1,0.647,3.652,-8.55,-7.9,seed123
[C@@H]Oc1ccc(NC(=O)COc2ccccc2C(=O)OCc2ccccc2)cc1,0.487,3.13,-9.15,-9.8,seed123
[C@@H]1CCN(CCOc2c(Cl)cccc2Cl)C1,0.722,3.576,-8.25,-7.2,seed123
[C@@H]1CCC[C@@H]1CNC(=O)Nc1ccc(Cl)cc1Cl,0.762,3.971,-8.6,-9.2,seed123
[C@@H]#Cc1cccc(C(=O)Nc2c(F)cccc2F)c1,0.722,2.98,-9.3,-9.6,seed123
[C@@H](C)[C@@H](NC(=O)c1ccccc1Br)C(=O)N[C@@H](c1ccccc1)c1ccccc1,0.45,3.762,-9.55,-8.7,seed123
Nc1cccc(OCC(=O)N2CCC[C@H]2Cn2cccn2)c1,0.75,3.735,-8.9,-9.2,seed123
Cc1cccc(NC(=O)CN(C)c2[nH+]ccn2C)c1,0.797,4.189,-8.5,-8.5,seed123
CC(=O)N/C(=C\c1cc2ccccc2c2c(Cl)cccc21)c1ccc(C)cc1,0.213,3.445,-10.25,-11.1,seed123
O=C(Cn1ccsc1=O)N1CCN(c2ccc(Br)cc2)CC1,0.716,3.268,-8.75,-8.4,seed123
FC(F)(F)C1NN(C(=O)c2c(F)cccc2Cl)C1,0.702,4.246,-9.15,-7.9,seed123
FC(F)(F)CS(=O)(=O)c1ccc(Cl)cc1Cl,0.738,3.284,-8.45,-7.4,seed123
